index,facebookPhotoId,filename,width,height,facebookPhotoUrl,sourceUrl,sourceAsset,alt
"176","450343573464099","stutes-facebook-176-450343573464099.jpg","2048","1536","https://www.facebook.com/photo.php?fbid=450343573464099&set=pb.100064619866357.-2207520000&type=3","https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/474066285_1172078361290613_2176442429615129787_n.jpg?stp=dst-jpg_tt6&cstp=mx2048x1536&ctp=s2048x1536&_nc_cat=101&ccb=1-7&_nc_sid=833d8c&_nc_ohc=CLKmmt0DjIkQ7kNvwGkBaJb&_nc_oc=AdrgSaM_fmZPUeOfR_9m8awJee--GsRQmErVSL6xc0Fz0gbuY_YkQR0Fpvp1unlDZlI&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=BL8lrtdeX_xvMdx7O8mzBw&_nc_ss=782a8&oh=00_AQGMlfXUO9wEvepvY1qCzWnu_ptujR42LejDsm_h30miqQ&oe=6A7A4C22","474066285_1172078361290613_2176442429615129787_n.jpg","No photo description available."
"177","450343546797435","stutes-facebook-177-450343546797435.jpg","1536","2048","https://www.facebook.com/photo.php?fbid=450343546797435&set=pb.100064619866357.-2207520000&type=3","https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/473885400_1172078417957274_5742551121698147263_n.jpg?stp=dst-jpg_tt6&cstp=mx1536x2048&ctp=s1536x2048&_nc_cat=101&ccb=1-7&_nc_sid=833d8c&_nc_ohc=i2GjclxYJDsQ7kNvwGw7r5s&_nc_oc=AdpYdnBjU-zQ7PwMMccvDyA-PEQoLsxuork7LI2hfOxvgIo1Pk-Ju9rxotnFvtN0VCA&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=SU7VNOfJ6wGbhlRVVg2T5Q&_nc_ss=782a8&oh=00_AQFvzyL7FlARQilT0B2Z_yefbKrbuwyly5QcK6HWnLEGMA&oe=6A7A7FD6","473885400_1172078417957274_5742551121698147263_n.jpg","No photo description available."
"178","450343516797438","stutes-facebook-178-450343516797438.jpg","1536","2048","https://www.facebook.com/photo.php?fbid=450343516797438&set=pb.100064619866357.-2207520000&type=3","https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/473885400_1172078417957274_5742551121698147263_n.jpg?stp=dst-jpg_tt6&cstp=mx1536x2048&ctp=s1536x2048&_nc_cat=101&ccb=1-7&_nc_sid=833d8c&_nc_ohc=i2GjclxYJDsQ7kNvwGw7r5s&_nc_oc=AdpYdnBjU-zQ7PwMMccvDyA-PEQoLsxuork7LI2hfOxvgIo1Pk-Ju9rxotnFvtN0VCA&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=SU7VNOfJ6wGbhlRVVg2T5Q&_nc_ss=782a8&oh=00_AQFvzyL7FlARQilT0B2Z_yefbKrbuwyly5QcK6HWnLEGMA&oe=6A7A7FD6","473885400_1172078417957274_5742551121698147263_n.jpg","No photo description available."
"179","450343453464111","stutes-facebook-179-450343453464111.jpg","1536","2048","https://www.facebook.com/photo.php?fbid=450343453464111&set=pb.100064619866357.-2207520000&type=3","https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/474008225_1172078181290631_4172827590687093453_n.jpg?stp=dst-jpg_tt6&cstp=mx1536x2048&ctp=s1536x2048&_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_ohc=-xZX_j2rPbMQ7kNvwG9rnKg&_nc_oc=AdqMuyKM0aR5bTLJW6CPX-RcbVbn3kmiaeXLHMFsh716H92SbOHNz_4QeBnQt-X6k6k&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=jBfw9xmvm-CTeaq9cRy7UQ&_nc_ss=782a8&oh=00_AQF5d0f5jTA4AKCzF1Vp5mcjg80TRhJQ9i5kaAw8sLj2gg&oe=6A7A6002","474008225_1172078181290631_4172827590687093453_n.jpg","No photo description available."
"180","450343433464113","stutes-facebook-180-450343433464113.jpg","1536","2048","https://www.facebook.com/photo.php?fbid=450343433464113&set=pb.100064619866357.-2207520000&type=3","https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/474008225_1172078181290631_4172827590687093453_n.jpg?stp=dst-jpg_tt6&cstp=mx1536x2048&ctp=s1536x2048&_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_ohc=-xZX_j2rPbMQ7kNvwG9rnKg&_nc_oc=AdqMuyKM0aR5bTLJW6CPX-RcbVbn3kmiaeXLHMFsh716H92SbOHNz_4QeBnQt-X6k6k&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=jBfw9xmvm-CTeaq9cRy7UQ&_nc_ss=782a8&oh=00_AQF5d0f5jTA4AKCzF1Vp5mcjg80TRhJQ9i5kaAw8sLj2gg&oe=6A7A6002","474008225_1172078181290631_4172827590687093453_n.jpg","No photo description available."
"181","425118172653306","stutes-facebook-181-425118172653306.jpg","1536","2048","https://www.facebook.com/photo.php?fbid=425118172653306&set=pb.100064619866357.-2207520000&type=3","https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/474584174_1172078154623967_4178867048435231680_n.jpg?stp=dst-jpg_tt6&cstp=mx1536x2048&ctp=s1536x2048&_nc_cat=102&ccb=1-7&_nc_sid=833d8c&_nc_ohc=5AM-X1NfjWkQ7kNvwEdu0BK&_nc_oc=AdpeHOOKR1cDST93Nq2bfNnKwRBwz5nBjRJHUkSAWo3d0-puva_U2HywJFNkvpV_V_A&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=uJ8IRQJP1jDCZwCjm2Fy7g&_nc_ss=782a8&oh=00_AQH5Gu5oxzORxTXElQ7RK5xIg12et3GdHGx-03anh_iXTQ&oe=6A7A750C","474584174_1172078154623967_4178867048435231680_n.jpg","No photo description available."
"182","425118132653310","stutes-facebook-182-425118132653310.jpg","960","954","https://www.facebook.com/photo.php?fbid=425118132653310&set=pb.100064619866357.-2207520000&type=3","https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/472583521_1161658665665916_7771612533284206908_n.jpg?stp=dst-jpg_tt6&cstp=mx960x954&ctp=s960x954&_nc_cat=111&ccb=1-7&_nc_sid=833d8c&_nc_ohc=TSW3ZKQqp4EQ7kNvwHjty22&_nc_oc=AdpEComQvLpK5xLE7mQ4MwbzJvcHxRZ7HNiFZC0-ivYzRJ-e1VB-E-7wmKbu3sMyjuU&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=Fw4kGosyBzia0xBgLENAFQ&_nc_ss=782a8&oh=00_AQGbw23g0tbExwfBY1Bksd5CmpjwJgdODKa3iSdZQeno2w&oe=6A7A645F","472583521_1161658665665916_7771612533284206908_n.jpg","No photo description available."
"183","425118109319979","stutes-facebook-183-425118109319979.jpg","960","720","https://www.facebook.com/photo.php?fbid=425118109319979&set=pb.100064619866357.-2207520000&type=3","https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/472649053_1161658548999261_5395616840929055708_n.jpg?stp=dst-jpg_tt6&cstp=mx960x720&ctp=s960x720&_nc_cat=107&ccb=1-7&_nc_sid=833d8c&_nc_ohc=lCTu5IWmbEEQ7kNvwE6RQs6&_nc_oc=AdpfoY2tcCCkv62TRRsHIqJ1Ty5JcTI8JSnco9hjLueMLtn4nMebym0CJdyKNLG3haA&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=e3RdtRtlgoLg38GL6Hj6eQ&_nc_ss=782a8&oh=00_AQE86ki1t5zIBAlr0RmPB3wgjQDVHlJxQXcqbQkg1LSFRA&oe=6A7A528A","472649053_1161658548999261_5395616840929055708_n.jpg","No photo description available."
"184","425118079319982","stutes-facebook-184-425118079319982.jpg","720","960","https://www.facebook.com/photo.php?fbid=425118079319982&set=pb.100064619866357.-2207520000&type=3","https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/472252478_1161658522332597_7379847981929298060_n.jpg?stp=dst-jpg_tt6&cstp=mx720x960&ctp=s720x960&_nc_cat=101&ccb=1-7&_nc_sid=833d8c&_nc_ohc=ZShovbC1IdAQ7kNvwGcpH2-&_nc_oc=AdpIqPaKY-GGMiD7l-RFjNloIzpSxiZ7DKTiKDi0zz-ef5BxqtFa4TVQZkXoT5yy4nw&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=uV6GTVqiuKtndKt8xpw6mg&_nc_ss=782a8&oh=00_AQEKEjK8dxgOG51mOTgoPvfTPK5bnZX7qh5l3yw_CtzKrA&oe=6A7A5713","472252478_1161658522332597_7379847981929298060_n.jpg","No photo description available."
"185","425118052653318","stutes-facebook-185-425118052653318.jpg","720","960","https://www.facebook.com/photo.php?fbid=425118052653318&set=pb.100064619866357.-2207520000&type=3","https://scontent-ams2-1.xx.fbcdn.net/v/t39.30808-6/472252478_1161658522332597_7379847981929298060_n.jpg?stp=dst-jpg_tt6&cstp=mx720x960&ctp=s720x960&_nc_cat=101&ccb=1-7&_nc_sid=833d8c&_nc_ohc=ZShovbC1IdAQ7kNvwGcpH2-&_nc_oc=AdpIqPaKY-GGMiD7l-RFjNloIzpSxiZ7DKTiKDi0zz-ef5BxqtFa4TVQZkXoT5yy4nw&_nc_zt=23&_nc_ht=scontent-ams2-1.xx&_nc_gid=uV6GTVqiuKtndKt8xpw6mg&_nc_ss=782a8&oh=00_AQEKEjK8dxgOG51mOTgoPvfTPK5bnZX7qh5l3yw_CtzKrA&oe=6A7A5713","472252478_1161658522332597_7379847981929298060_n.jpg","No photo description available."
